;FQ1;OUT A;OUT B;FQ2;OUT A;OUT B;
4,5;-3,874419;-3,9568231;4,5;-3,9077406;-3,9097929;
4,6;-3,8677161;-3,9648559;4,6;-3,8916676;-3,8857536;
4,7;-3,9009409;-3,9914169;4,7;-3,9585724;-3,9553595;
4,8;-3,894599;-3,9951231;4,8;-3,9554584;-3,9440336;
5;-3,8813479;-3,9685698;5;-3,8958066;-3,8953424;
5,1;-3,936425;-4,0720978;5,1;-3,9612775;-3,9728801;
5,2;-3,9169142;-4,0198526;5,2;-3,973671;-3,9560909;
5,3;-3,8924513;-3,9820402;5,3;-3,9527416;-3,9498601;
5,5;-3,8769794;-3,9796584;5,5;-3,9176114;-3,9036515;
5,6;-3,9460771;-3,9796584;5,6;-3,9852526;-3,9542851;
5,7;-3,9312918;-4,0483313;5,7;-3,9787362;-3,9546978;
5,8;-3,8693047;-3,9993062;5,8;-3,9267359;-3,8953245;
6;-3,8956234;-4,0252829;6;-3,9443333;-3,9245644;
6,1;-3,9035752;-4,0465965;6,1;-3,9418402;-3,9170671;
6,2;-3,8999069;-4,0418572;6,2;-3,9456308;-3,928472;
6,3;-3,901644;-4,0514836;6,3;-3,9577627;-3,9602897;
6,5;-3,9259946;-4,0590281;6,5;-3,9544983;-3,9537334;
6,6;-3,9528155;-4,0993013;6,6;-3,9846861;-3,9702854;
6,7;-4,0581689;-4,1916785;6,7;-4,1260676;-4,0677013;
6,8;-3,9926507;-4,1161556;6,8;-4,0543408;-4,0161839;
7;-3,9547474;-4,0673013;7;-3,9890294;-3,9665112;
7,1;-4,0245185;-4,1447363;7,1;-4,0746408;-4,0305095;
7,2;-3,9895844;-4,1213412;7,2;-4,0266104;-3,9944248;
7,3;-3,9796131;-4,1032834;7,3;-4,0171595;-4,0210876;
7,5;-4,0329909;-4,1519504;7,5;-4,0984831;-4,0661974;
7,6;-4,0043001;-4,1427517;7,6;-4,0651307;-4,0279822;
7,7;-3,975105;-4,1086035;7,7;-4,0635562;-4,0261412;
7,8;-3,9901311;-4,1184707;7,8;-4,0372381;-4,0017033;
8;-4,0703077;-4,2005134;8;-4,1271906;-4,0814638;
8,1;-4,058516;-4,2192631;8,1;-4,1481838;-4,0889788;
8,2;-4,0003891;-4,1256924;8,2;-4,0927472;-4,0453558;
8,3;-3,8700521;-3,9820175;8,3;-3,9256542;-3,8920655;
8,5;-3,9319134;-4,0454183;8,5;-4,0049577;-3,9735727;
